StudentID,LastName,FirstName,MiddleName,BirthDate
25695776,Pappas,William,Carlton,3/4/1990
23425854,Mirach,Tsegaye,Cyrus,11/11/1993
24159964,Keane,Thomas,Danny,10/11/1993
20322106,Okeleke,Sylvester,Darren,8/30/1990
26431574,Rigby,Steven,Deangelo,5/12/1994
26173837,Smith,Sam,Dion,6/24/1993
25147292,Mendez,Renier,Floyd,4/1/1994
26293271,Koranteng,Nicholas,Horace,6/1/1990
22728169,Lee,Michael,Lino,6/8/1990
22108973,Marange,Meakin,Lucien,8/17/1992
21184065,Mohammadi,Mahdi,Lynwood,8/11/1994
26260051,Verghese,Joseph,Noelle,12/29/1991
21374986,Enders,Jared,Parker,12/22/1990
22647038,Tran,Henry,Richard,4/6/1993
21925106,Strange,Gene,Riley,5/2/1990
24634283,Chou,Beili,Seth,3/16/1992
26199988,Hughes,Anthony,Solomon,8/9/1992
26300909,Salas,Adrian,Stewart,2/20/1993
24150645,Kahn,Adam,Keenan,10/21/1990
22338122,Song,Zenan,Alice,1/9/1993
23181447,Dandar,Valerie,Cecille,9/3/1991
27797735,Nahar,Taslemun,Dorothy,3/11/1990
26333433,Sharma,Sveena,Genevieve,6/2/1990
22321414,Kodali,Sree,Lynnette,7/25/1991
20273285,Hall,Sandra,Mariette,9/1/1994
22253588,Tettey,Regina,Patty,2/24/1990
27173089,Bekele,Redeat,Raelene,8/19/1994
23050060,Hulsey,Rebekah,Kendall,7/21/1993
27952767,Francis,Marilou,Angela,12/30/1994
25191711,Tyler,Leslie,Serita,1/13/1991
27406201,Kane,Katherine,Claire,10/14/1990
22925561,Amedome,Jannette,Eugina,4/14/1992
25715601,Abebe,Fraol,Olivia,11/8/1994
21177300,Herschberger,Desiree,Emma,2/10/1994
23333139,Redmond,Christina,Charoltte,2/4/1993
25032929,Conroy,Cealin,Isabella,2/3/1990
23626196,Cooper,Brooke,Amelia,3/27/1993
24799588,Williams,Ashley,Mia,1/29/1993
25258180,Zhang,Angela,Madison,7/4/1991
27680711,Herbas,Alejandra,Scarett,6/30/1992
